Voltage control
Voltage is set directly according to setter.

Constant setpoint
Value (V)
0

Stop buffer (mm), Syringe diameter (mm)
5,20.5

Time (ms),Force (N),Flowrate (ml/s),Control action (8 bit),Loadcell (24 bit),Ticks (rotations)
40151,-3.56050,0.00000,0,-123791,1
40242,-3.55962,0.00000,0,-123761,1
40333,-3.56073,0.00000,0,-123799,1
40424,-3.56029,0.00000,0,-123784,1
40514,-3.56122,0.00000,0,-123816,1
40606,-3.56009,0.00000,0,-123777,1
40697,-3.55945,0.00000,0,-123755,1
40788,-3.55983,0.00000,0,-123768,1
40879,-3.56023,0.00000,0,-123782,1
40969,-3.56026,0.00000,0,-123783,1
41060,-3.56099,0.00000,0,-123808,1
41151,-3.56102,0.00000,0,-123809,1
41242,-3.56146,0.00000,0,-123824,1
41334,-3.56079,0.00000,0,-123801,1
41424,-3.55953,0.00000,0,-123758,1
41515,-3.56000,0.00000,0,-123774,1
41606,-3.56035,0.00000,0,-123786,1
41697,-3.55951,0.00000,0,-123757,1
41788,-3.56087,0.00000,0,-123804,1
41878,-3.56122,0.00000,0,-123816,1
41970,-3.56018,0.00000,0,-123780,1
42061,-3.55971,0.00000,0,-123764,1
42152,-3.55892,0.00000,0,-123737,1
42243,-3.55968,0.00000,0,-123763,1
42333,-3.55948,0.00000,0,-123756,1
42424,-3.56218,0.00000,0,-123849,1
42515,-3.56175,0.00000,0,-123834,1
42606,-3.55878,0.00000,0,-123732,1
42698,-3.55971,0.00000,0,-123764,1
42788,-3.55796,0.00000,0,-123704,1
42879,-3.55726,0.00000,0,-123680,1
42970,-3.55828,0.00000,0,-123715,1
43061,-3.56041,0.00000,0,-123788,1
43152,-3.56087,0.00000,0,-123804,1
43242,-3.55930,0.00000,0,-123750,1
43333,-3.55895,0.00000,0,-123738,1
43425,-3.55948,0.00000,0,-123756,1
43516,-3.56061,0.00000,0,-123795,1
43607,-3.56052,0.00000,0,-123792,1
43697,-3.55997,0.00000,0,-123773,1
43788,-3.56326,0.00000,0,-123886,1
43879,-3.55983,0.00000,0,-123768,1
43970,-3.53586,0.00000,0,-122945,1
44062,-3.51596,0.00000,0,-122262,1
44152,-3.51226,0.00000,0,-122135,1
44243,-3.51267,0.00000,0,-122149,1
44334,-3.51224,0.00000,0,-122134,1
44425,-3.51331,0.00000,0,-122171,1
44516,-3.51419,0.00000,0,-122201,1
44606,-3.51224,0.00000,0,-122134,1
44697,-3.51250,0.00000,0,-122143,1
44789,-3.51250,0.00000,0,-122143,1
44880,-3.51171,0.00000,0,-122116,1
44970,-3.51349,0.00000,0,-122177,1
45061,-3.51253,0.00000,0,-122144,1
45152,-3.51060,0.00000,0,-122078,1
